

Potencia 1

Pivote 1
1.	2845
2.	2354
3.	3065
4.	2304
5.	3798
6.	4278
7.	7304
8.	4599
9.	3547
10.	2715

Pivote 2
1.	4138
2.	2375
3.	2124
4.	2345
5.	3196
6.	3627
7.	2765
8.	3517
9.	2635
10.	2795

Pivote 3
1.	4699
2.	4198
3.	4188
4.	5731
5.	4208
6.	3447
7.	6923
8.	2705
9.	3216
10.	2575


Potencia 2

Pivote 1
1.	44344
2.	77778
3.	34516
4.	31971
5.	37150
6.	38313
7.	43753
8.	43383
9.	56818
10.	45857

Pivote 2
1.	41950
2.	44695
3.	38112
4.	74542
5.	43412
6.	32282
7.	32943
8.	35879
9.	31881
10.	55886

Pivote 3
1.	59473
2.	44876
3.	77628
4.	49094
5.	36369
6.	33794
7.	39565
8.	35748
9.	33554
10.	34826


Potencia 3

Pivote 1
1.	775457
2.	450978
3.	719850
4.	448454
5.	676398
6.	657572
7.	584943
8.	637243
9.	660197
10.	1101888

Pivote 2
1.	554055
2.	846702
3.	455727
4.	624268
5.	530199
6.	416654
7.	429537
8.	596555
9.	559235
10.	1067933

Pivote 3
1.	797989
2.	730641
3.	694693
4.	911986
5.	734809
6.	690716
7.	630921
8.	478371
9.	631733
10.	614640


Potencia 4

Pivote 1
1.	15823967
2.	26619216
3.	14590332
4.	9141865
5.	14996622
6.	16111133
7.	17283917
8.	15666818
9.	16880687
10.	11381430

Pivote 2
1.	6187400
2.	7452511
3.	9060240
4.	6468065
5.	7240275
6.	8918766
7.	6431220
8.	6087760
9.	8658242
10.	6270889

Pivote 3
1.	5633456
2.	7200178
3.	6067672
4.	5879153
5.	5526732
6.	8215925
7.	6985299
8.	7742333
9.	12977648
10.	9030794


Potencia 5

Pivote 1
1.	101301820
2.	91316291
3.	71960073
4.	70867533
5.	102612372
6.	119783144
7.	80819278
8.	72513753
9.	89125700
10.	90889297

Pivote 2
1.	89278378
2.	165982331
3.	100975502
4.	94181880
5.	86214410
6.	97560644
7.	132976492
8.	118764323
9.	88477230
10.	125358252

Pivote 3
1.	85007324
2.	89525549
3.	88165620
4.	79021128
5.	68854665
6.	73961675
7.	121439156
8.	100828664
9.	71231814
10.	65814413


Potencia 6

Pivote 1
1.	1060892763
2.	1163495423
3.	916428586
4.	900632844
5.	1013191115
6.	864197158
7.	1066293216
8.	1008409655
9.	824970538
10.	786796055

Pivote 2
1.	969933718
2.	762008716
3.	765165798
4.	754736666
5.	840973495
6.	801053916
7.	879468071
8.	766110292
9.	757425540
10.	828148774

Pivote 3
1.	917658786
2.	971243143
3.	793503636
4.	761657195
5.	866027993
6.	809576936
7.	908294491
8.	887596870
9.	1014993243
10.	1112695686


Potencia 7

Pivote 1
1.	13007138457
2.	7679075016
3.	7607201332
4.	7628173040
5.	7602763436
6.	7577420990
7.	7520344084
8.	7499065535
9.	7560434778
10.	7608038668

Pivote 2
1.	7375191193
2.	7909850557
3.	7436976202
4.	7302413171
5.	7740947599
6.	7904809495
7.	7698883924
8.	7476868525
9.	7398761613
10.	7521198456

Pivote 3
1.	7527593661
2.	7710133268
3.	7622040377
4.	7734158905
5.	8865758633
6.	8504603718
7.	7595362941
8.	7659772264
9.	8078626887
10.	7940676416


Potencia 8

Pivote 1
1.	63990875579
2.	69630027059
3.	74527527836
4.	73620113388
5.	85219526711
6.	90284894977
7.	133453625764
8.	64303589419
9.	54578388427
10.	53208361196

Pivote 2
1.	54325612453
2.	58954451989
3.	73446760989
4.	53930207964
5.	52892813156
6.	53316194411
7.	53511734770
8.	54418951190
9.	54274603345
10.	52847161116

Pivote 3
1.	53533080553
2.	53500453858
3.	53942613632
4.	54050928396
5.	54726317939
6.	53803084042
7.	54994690478
8.	59875485178
9.	65906133586
10.	65875381923


Potencia 9

Pivote 1
1.	748358314049
2.	723655689535
3.	690416165977
4.	707566152996
5.	689698084385
6.	731893495757
7.	728059880540
8.	726804027649
9.	725668221299
10.	721543275611

Pivote 2
1.	719459399794
2.	724682156571
3.	715423052085
4.	728417219248
5.	731704816414
6.	729117482268
7.	714773272279
8.	717268188527
9.	730759191823
10.	711728089078

Pivote 3
1.	715938548356
2.	727180385426
3.	715223533008
4.	725112938862
5.	689076760559
6.	702824417525
7.	710023581066
8.	711678216916
9.	715841320070
10.	711228836711
